"Gene.ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene.Name"
"Os07g0602000",183.118986845883,9.70115139934907,1.10803466519734,8.75527788439842,2.0360121851824e-18,2.32308287217063e-17,"DHFR"
"Os03g0223700",2084.19464571857,2.01766276034675,0.230523251995462,8.75253469175623,2.08613362337677e-18,2.37909755628491e-17,""
"Os04g0653700",99.5847057642845,5.02541744287148,0.574292859637509,8.75061801402771,2.12187470950524e-18,2.41866526769035e-17,""
"Os05g0355900",221.862797726586,-10.6903665061508,1.22193737290923,-8.74870246475799,2.15819872574766e-18,2.45885813443802e-17,""
"Os01g0342900",324.663188569755,11.4187973592329,1.30563096829254,8.7458076872717,2.21425966228938e-18,2.52148682764298e-17,""
"Os08g0564300",2879.27679420998,7.250352283038,0.829031163790842,8.74557266325782,2.21887379808633e-18,2.52549769695574e-17,"OsABCB22"
"Os04g0521800",2760.00056642972,-3.48860918415521,0.398903527054876,-8.74549595966668,2.2203817439841e-18,2.52597092842421e-17,""
"Os03g0853200",113.704884184631,8.46229736889321,0.967845943624656,8.74343424657158,2.26129507509378e-18,2.57125036857271e-17,"OsTET6"
"Os06g0142350",207.642987369888,11.7348581182268,1.34256875934006,8.74060120689462,2.3187315069265e-18,2.63526399470251e-17,"UDP-GT"
"Os03g0764100",2251.14711174704,1.96918538274122,0.225317102528167,8.73961790137544,2.33900167890948e-18,2.65699562032507e-17,"WZF1"
"Os03g0808300",2207.94808984825,-2.82582783748497,0.323424539811793,-8.73720911570089,2.38939940053137e-18,2.71291258397101e-17,"OsREM4.2"
"Os03g0222500",131.251495935048,11.0730017058634,1.26769224800924,8.73477117435422,2.44149867584924e-18,2.77070566118947e-17,""
"Os02g0694300",463.284454823487,2.9494537649296,0.337708263867802,8.73373287093791,2.46402653113462e-18,2.79489973575682e-17,""
"Os08g0478700",4536.10311694642,2.29554738254626,0.26287480194435,8.732474035424,2.4916146285683e-18,2.82480701615332e-17,""
"Os01g0524251",194.416024186631,3.75673449541449,0.43022244491015,8.73207462757799,2.50043144721633e-18,2.83341393979516e-17,""
"Os07g0636800",2585.50425582354,-4.06916985762506,0.466056782355917,-8.73106027350445,2.52296173447455e-18,2.85754451493278e-17,""
"Os05g0373900",439.750680730323,2.91767807187605,0.334247731955409,8.72908861582132,2.5673301232744e-18,2.90637352379297e-17,""
"Os07g0627700",2194.25767709675,-3.33269153791206,0.381993924576678,-8.7244621536987,2.67448717114734e-18,3.02620055255849e-17,"OsGL1-9"
"Os02g0317800",2953.43141340287,-2.20824606638036,0.253163710650503,-8.72260112125186,2.71882687195872e-18,3.07486688971449e-17,""
"Os03g0301400",121.85290500653,2.90390396443055,0.33297821405869,8.72100288194444,2.75748417939176e-18,3.11706227277481e-17,""
"Os01g0802000",213.498237545981,-2.87734846579238,0.329973929311213,-8.71992666753568,2.78382028160927e-18,3.14529533331994e-17,"OsRFPH2-12"
"Os08g0540100",2872.7247254065,-2.84076505634426,0.325781330891688,-8.71985220444912,2.78565163031276e-18,3.14582768095086e-17,""
"Os09g0515550",94.3332351685823,6.21780389236374,0.713101806712436,8.71937756128996,2.79735301485379e-18,3.15750026976762e-17,""
"Os12g0267200",15758.9593800431,-4.95513839995223,0.56834927881756,-8.7184739818115,2.81976326304831e-18,3.18124315842836e-17,""
"Os02g0120000",780.596072637422,3.31500620367223,0.380354673940915,8.71556584102127,2.893100071945e-18,3.26238997873935e-17,""
"Os02g0125300",8019.97722243698,2.39709674028332,0.27511516415872,8.71306657200612,2.95762842095814e-18,3.33352973293956e-17,"OsBI-1"
"Os12g0562100",471.657073738383,3.51136674540441,0.403025909030185,8.7125087165089,2.97222448213589e-18,3.34834913895952e-17,""
"Os05g0403300",490.216341368728,5.82525559834487,0.668991030525355,8.70752421563907,3.10583883317777e-18,3.49716847778653e-17,""
